experiment,n,m,q,sigma,B,noise_model,repeats,trials_total,successes_total,failures_total,success_rate_mean,success_rate_std,success_rate_ci95,failure_rate_mean,failure_rate_std,failure_rate_ci95,accumulated_error_mean_mean,accumulated_error_mean_std,accumulated_error_mean_ci95,accumulated_abs_error_mean_mean,accumulated_abs_error_mean_std,accumulated_abs_error_mean_ci95,accumulated_error_std_mean,accumulated_error_std_std,accumulated_error_std_ci95,time_keygen_s_mean,time_keygen_s_std,time_keygen_s_ci95,time_encrypt_mean_s_mean,time_encrypt_mean_s_std,time_encrypt_mean_s_ci95,time_decrypt_mean_s_mean,time_decrypt_mean_s_std,time_decrypt_mean_s_ci95,public_key_size_bytes_mean,public_key_size_bytes_std,public_key_size_bytes_ci95
n_sweep,16,32,257,2.0,,gaussian,10,4000,4000,0,1.0,0.0,0.0,0.0,0.0,0.0,-1.5872499999999998,6.9316570940464475,4.296285577784347,6.853750000000001,3.330039883394792,2.063980103222897,5.423145963417037,1.0621555164917882,0.6583308096396112,1.3308199413586408e-05,5.462162477232132e-06,3.3854833780803844e-06,3.9264684965019116e-06,2.395061482178368e-07,1.4844744862851943e-07,2.4021562458074185e-06,1.1855662626117098e-07,7.348215825536402e-08,612.0,0.0,0.0
n_sweep,32,64,257,2.0,,gaussian,10,4000,4000,0,1.0,0.0,0.0,0.0,0.0,0.0,0.6370000000000001,6.052172681497668,3.7511754913715603,7.734999999999999,2.1468164414624122,1.3306106159704776,7.704573783816608,0.6858235106213508,0.42507781582540516,1.3887499517295509e-05,1.8207506841309056e-06,1.1285129657800373e-06,4.550968998955796e-06,1.825661581583136e-07,1.1315567715557322e-07,2.4149474993464534e-06,3.816370154784898e-08,2.3654107283482858e-08,2376.0,0.0,0.0
n_sweep,64,128,257,2.0,,gaussian,10,4000,4000,0,1.0,0.0,0.0,0.0,0.0,0.0,-7.1362499999999995,11.284594602697176,6.994264197568525,14.169749999999999,3.596844961984816,2.2293476041932583,11.48420516037963,0.7622150222574583,0.47242576527738284,2.8262700652703643e-05,3.3574656407356e-06,2.0809787637342956e-06,6.994771247263998e-06,1.8421380895856543e-07,1.1417690170178263e-07,2.390374491369584e-06,7.808611230338581e-08,4.8398273827253655e-08,9360.0,0.0,0.0
n_sweep,96,192,257,2.0,,gaussian,10,4000,3994,6,0.9984999999999999,0.004743416490252573,0.002940000000000002,0.0015,0.004743416490252569,0.0029399999999999995,-2.89625,16.2043710345388,10.043573221841914,16.99725,6.265526763569046,3.88341372146981,13.994639145509254,0.7874746102443843,0.48808182011342105,4.763320030178875e-05,1.727609630034308e-06,1.070783542355653e-06,1.1640614255156834e-05,2.481338909326841e-07,1.5379497896530848e-07,2.4551565111323727e-06,4.264324398028196e-08,2.6430556448007248e-08,20952.0,0.0,0.0
n_sweep,128,256,257,2.0,,gaussian,10,4000,3983,17,0.9957499999999999,0.006775158874725941,0.004199286976512926,0.0042499999999999994,0.006775158874725948,0.0041992869765129295,2.4745,19.636753585786245,12.170985967782377,20.127000000000002,6.948519506580761,4.3067370093532915,15.80371511050364,0.9194514451162229,0.5698819098421105,8.374580065719783e-05,9.87672486650625e-06,6.121657494592517e-06,2.3721343757642898e-05,3.595506022456231e-07,2.2285177208755844e-07,2.5339685016660955e-06,1.0124086578751139e-07,6.274973872248667e-08,37152.0,0.0,0.0
