experiment,n,m,q,sigma,B,noise_model,repeats,trials_total,successes_total,failures_total,success_rate_mean,success_rate_std,success_rate_ci95,failure_rate_mean,failure_rate_std,failure_rate_ci95,accumulated_error_mean_mean,accumulated_error_mean_std,accumulated_error_mean_ci95,accumulated_abs_error_mean_mean,accumulated_abs_error_mean_std,accumulated_abs_error_mean_ci95,accumulated_error_std_mean,accumulated_error_std_std,accumulated_error_std_ci95,time_keygen_s_mean,time_keygen_s_std,time_keygen_s_ci95,time_encrypt_mean_s_mean,time_encrypt_mean_s_std,time_encrypt_mean_s_ci95,time_decrypt_mean_s_mean,time_decrypt_mean_s_std,time_decrypt_mean_s_ci95,public_key_size_bytes_mean,public_key_size_bytes_std,public_key_size_bytes_ci95
q_sweep,64,128,97,4.0,,gaussian,10,4000,2106,1894,0.5264999999999999,0.15852269378371175,0.09825338354366112,0.47350000000000003,0.15852269378371175,0.09825338354366112,2.04225,7.941059127688475,4.92191944000283,23.482750000000003,4.883057792283211,3.0265505756902713,25.86040580002491,4.384398075116299,2.7174780809002006,3.1824801408220085e-05,6.746213914693196e-06,4.181346704417667e-06,6.908229497639696e-06,2.3353956638370608e-07,1.4474932289395836e-07,2.511020764359273e-06,2.6471893508932397e-07,1.6407449583268033e-07,7280.0,0.0,0.0
q_sweep,64,128,193,4.0,,gaussian,10,4000,3598,402,0.8995000000000001,0.051001089312985366,0.031610802654226354,0.10049999999999999,0.05100108931298538,0.03161080265422636,4.730499999999999,19.22519627843743,11.91590010591637,23.869,4.632304322184947,2.871131964736789,22.690630951614107,0.8326689750149145,0.5160935776089735,2.7483401936478913e-05,1.8137319209206825e-06,1.124162691272104e-06,7.054708505165764e-06,2.121478594507024e-07,1.314906055723255e-07,2.4327080027433113e-06,6.548047834045114e-08,4.058522095129702e-08,8320.0,0.0,0.0
q_sweep,64,128,257,4.0,,gaussian,10,4000,3659,341,0.91475,0.0831702571035263,0.051549459421672564,0.08525,0.08317025710352631,0.05154945942167257,-5.21275,32.75798249727334,20.303607903689592,32.585249999999995,10.242368192003036,6.348285575674917,23.026903922436,1.3082023363627326,0.8108322085589501,2.872500044759363e-05,2.8729470395772052e-06,1.7806710234519676e-06,6.919937502971151e-06,1.2850476834640985e-07,7.964808060072506e-08,2.464885747031076e-06,1.138877220948588e-07,7.058834147221519e-08,9360.0,0.0,0.0
q_sweep,64,128,389,4.0,,gaussian,10,4000,3998,2,0.9995,0.0010540925533894375,0.0006533333333333195,0.0005,0.0010540925533894597,0.0006533333333333332,3.7079999999999997,18.721532567251717,11.603726103500835,23.641,4.741906145094911,2.9390638783727634,22.907950243039455,1.5340863442031076,0.9508365671084017,2.675830473890528e-05,1.1829109213842053e-06,7.331757850098433e-07,6.841999755124561e-06,2.2579018377088078e-07,1.3994620578869795e-07,2.4641980016895106e-06,1.353726251258598e-07,8.390482233383559e-08,9360.0,0.0,0.0
q_sweep,64,128,521,4.0,,gaussian,10,4000,3999,1,0.99975,0.000790569415042078,0.0004899999999999896,0.00025,0.0007905694150420948,0.00049,-3.3232500000000007,28.296605608417654,17.538417859722504,27.84775,13.95813514535918,8.651341793764967,23.02426501845238,1.6015418928671696,0.9926459493289754,2.6475002232473344e-05,8.85569593263563e-07,5.488817204951456e-07,6.950020499061794e-06,1.9163048083226434e-07,1.1877380255446608e-07,2.4762497596384493e-06,2.099363690089178e-07,1.3011990959565812e-07,10400.0,0.0,0.0
q_sweep,64,128,769,4.0,,gaussian,10,4000,4000,0,1.0,0.0,0.0,0.0,0.0,0.0,-2.823,19.712204792406602,12.217751110147525,23.608500000000003,6.234696174545228,3.8643047244175186,22.297326203932947,0.88580881046405,0.5490299888521151,2.7108401991426944e-05,1.9635932246401237e-06,1.2170476896357406e-06,6.8873747441102746e-06,1.8418056030385604e-07,1.1415629397209107e-07,2.4106667369778734e-06,8.033648264933965e-08,4.979306781818823e-08,10400.0,0.0,0.0
