experiment,n,m,q,sigma,B,noise_model,repeats,trials_total,successes_total,failures_total,success_rate_mean,success_rate_std,success_rate_ci95,failure_rate_mean,failure_rate_std,failure_rate_ci95,accumulated_error_mean_mean,accumulated_error_mean_std,accumulated_error_mean_ci95,accumulated_abs_error_mean_mean,accumulated_abs_error_mean_std,accumulated_abs_error_mean_ci95,accumulated_error_std_mean,accumulated_error_std_std,accumulated_error_std_ci95,time_keygen_s_mean,time_keygen_s_std,time_keygen_s_ci95,time_encrypt_mean_s_mean,time_encrypt_mean_s_std,time_encrypt_mean_s_ci95,time_decrypt_mean_s_mean,time_decrypt_mean_s_std,time_decrypt_mean_s_ci95,public_key_size_bytes_mean,public_key_size_bytes_std,public_key_size_bytes_ci95
q_sweep,64,128,97,4.0,,gaussian,30,30000,15699,14301,0.5233,0.1416116958933587,0.050675094561604773,0.47670000000000007,0.1416116958933587,0.050675094561604773,1.5227333333333335,8.04580858512715,2.8791556255560047,23.51453333333333,4.331961383701967,1.5501724724886414,25.873267325943726,4.031144386579409,1.442526492552047,2.872213275016596e-05,6.041088418009204e-06,2.1617757269722016e-06,6.597329066426027e-06,1.347425251977969e-07,4.8216993397280523e-08,2.3473167015860476e-06,9.609206144145104e-08,3.438610257045468e-08,7280.0,0.0,0.0
q_sweep,64,128,193,4.0,,gaussian,30,30000,26366,3634,0.8788666666666667,0.13900229056245508,0.04974133085615015,0.12113333333333332,0.13900229056245508,0.04974133085615015,-0.13379999999999975,21.03692659209941,7.527967500247776,24.908466666666673,8.842924870056923,3.1644000247603628,23.21383441593959,3.070287990034716,1.0986884469170841,2.5104201146556685e-05,1.0916128622877825e-06,3.9062864597536194e-07,6.6396611344922955e-06,1.095584635836039e-07,3.9204992688627446e-08,2.362749900203198e-06,2.451585751746684e-08,8.772886943547471e-09,8320.0,0.0,0.0
q_sweep,64,128,257,4.0,,gaussian,30,30000,29349,651,0.9782999999999998,0.02509725908925322,0.008980938824027226,0.0217,0.025097259089253223,0.008980938824027226,-4.9137,17.01331952476424,6.088138202747545,22.636833333333332,5.659299256508056,2.0251542301416294,22.135819631064592,1.4701461892608687,0.5260850573831122,2.7169432723894715e-05,4.598036821492393e-06,1.6453863450822158e-06,6.751552633068059e-06,1.2219875538626717e-07,4.372826301842144e-08,2.3929262679303065e-06,3.544229775982484e-08,1.2682863368942309e-08,9360.0,0.0,0.0
q_sweep,64,128,389,4.0,,gaussian,30,30000,29964,36,0.9987999999999999,0.002578425073968405,0.0009226775628882889,0.0012000000000000001,0.0025784250739684035,0.0009226775628882884,-4.273033333333333,21.483032217885647,7.687604348239522,25.086566666666666,8.903226783058752,3.1859787871947494,22.820967204098903,1.7354316900946443,0.6210162546671122,2.5323500449303537e-05,6.218387953444185e-07,2.2252215509009126e-07,6.788994401479917e-06,2.1207222903190068e-08,7.588907252530033e-09,2.4163303993797553e-06,1.6395685895835874e-08,5.867120847133489e-09,9360.0,0.0,0.0
q_sweep,64,128,521,4.0,,gaussian,30,30000,29999,1,0.9999666666666668,0.0001825741858350555,6.533333333333338e-05,3.3333333333333335e-05,0.00018257418583505534,6.533333333333333e-05,-0.8009333333333329,20.14129978672803,7.207471564034424,24.152799999999996,6.925018836772589,2.478086164991708,22.746090775549103,1.8714751736487265,0.6696987900332928,2.5930468594500175e-05,1.13093983014316e-06,4.0470162068497354e-07,6.722600000891059e-06,1.4483750470232948e-07,5.1829435418841265e-08,2.3867846665477066e-06,4.815662172173228e-08,1.7232625766687547e-08,10400.0,0.0,0.0
q_sweep,64,128,769,4.0,,gaussian,30,30000,30000,0,1.0,0.0,0.0,0.0,0.0,0.0,-3.1177333333333337,25.091424942608874,8.978851101462904,27.000466666666668,9.503680600016313,3.4008484260494023,22.42861919723027,1.3715668439398023,0.490808891707305,2.684180023303876e-05,4.388730500155566e-06,1.5704870399141405e-06,6.714740332002596e-06,1.1899206771163749e-07,4.258076457123271e-08,2.3990708029790157e-06,4.654989188898447e-08,1.6657664880188727e-08,10400.0,0.0,0.0
