experiment,n,m,q,sigma,B,noise_model,repeats,trials_total,successes_total,failures_total,success_rate_mean,success_rate_std,success_rate_ci95,failure_rate_mean,failure_rate_std,failure_rate_ci95,accumulated_error_mean_mean,accumulated_error_mean_std,accumulated_error_mean_ci95,accumulated_abs_error_mean_mean,accumulated_abs_error_mean_std,accumulated_abs_error_mean_ci95,accumulated_error_std_mean,accumulated_error_std_std,accumulated_error_std_ci95,time_keygen_s_mean,time_keygen_s_std,time_keygen_s_ci95,time_encrypt_mean_s_mean,time_encrypt_mean_s_std,time_encrypt_mean_s_ci95,time_decrypt_mean_s_mean,time_decrypt_mean_s_std,time_decrypt_mean_s_ci95,public_key_size_bytes_mean,public_key_size_bytes_std,public_key_size_bytes_ci95
n_sweep,16,32,257,2.0,,gaussian,30,30000,30000,0,1.0,0.0,0.0,0.0,0.0,0.0,-0.9441000000000002,6.7459811144526425,2.414018338874507,6.8105,3.0810159066842506,1.1025273825871547,5.38524552769847,0.8518270008484327,0.30482237745835045,1.1682000573879729e-05,3.8493043878772225e-06,1.3774558847100605e-06,3.6938416994720077e-06,9.838907271162816e-08,3.5208077496967486e-08,2.337601333662557e-06,7.427421394337307e-08,2.6578686112930107e-08,612.0,0.0,0.0
n_sweep,32,64,257,2.0,,gaussian,30,30000,30000,0,1.0,0.0,0.0,0.0,0.0,0.0,-1.4032333333333336,6.865174306164628,2.4566710747449463,8.515633333333334,2.7463149414208243,0.9827561803740473,8.15064248135123,0.6902967677831836,0.24701952591066664,1.284309837501496e-05,7.682301085028433e-07,2.749076137240104e-07,4.306287530926056e-06,1.529220464049237e-08,5.472245151247463e-09,2.40352219940784e-06,1.524143486912632e-08,5.454077421889972e-09,2376.0,0.0,0.0
n_sweep,64,128,257,2.0,,gaussian,30,30000,30000,0,1.0,0.0,0.0,0.0,0.0,0.0,-1.5941999999999998,8.486902929687075,3.0369992095915768,11.423133333333336,3.094330262708336,1.1072918637007452,11.480335088334009,0.7557450301018954,0.2704398857966962,2.502506540622562e-05,1.3410645512558664e-06,4.798937864516756e-07,6.658494499667238e-06,6.765843898892842e-08,2.421126145001777e-08,2.3916152349556794e-06,2.982189566872927e-08,1.0671628310681373e-08,9360.0,0.0,0.0
n_sweep,96,192,257,2.0,,gaussian,30,30000,29910,90,0.9970000000000001,0.01262728299603952,0.0045186151881290776,0.003,0.01262728299603953,0.004518615188129081,1.3623000000000003,16.048447565161066,5.742863206326682,16.58356666666667,7.357333112608472,2.6327878417854995,13.702577537788503,0.7599542850847056,0.2719461483475553,4.86930327800413e-05,6.653852265201616e-06,2.381050453572411e-06,1.1502373632295832e-05,3.8979487634115226e-07,1.3948630509369744e-07,2.414891734467043e-06,7.600471404983811e-08,2.719793762305976e-08,20952.0,0.0,0.0
n_sweep,128,256,257,2.0,,gaussian,30,30000,29947,53,0.9982333333333334,0.0036168507289356462,0.0012942734111598103,0.0017666666666666668,0.003616850728935644,0.0012942734111598094,1.8530666666666666,13.371353264846956,4.784877314250991,16.83553333333333,4.432088584740664,1.5860025312194241,16.334576401769954,0.6769866765563901,0.24225657093518727,7.752629996199782e-05,5.130202616385368e-06,1.8358194290766416e-06,2.3173115433504186e-05,4.60064381176335e-07,1.6463192445695676e-07,2.4317777642863805e-06,6.549127218700553e-08,2.34357507697353e-08,37152.0,0.0,0.0
